5G cocaine 90% pure Colombie, Chapo,"280,00€","France, Metropolitan (FR)"
    Gelato 5G, PapaGanja,"50,00€","France, Metropolitan (FR)"
25g Hash HQ, Copek,"200,00€","France, Metropolitan (FR)"
AK47 Indoor 10g, KantFr,"120,00€","France, Metropolitan (FR)"
[Cocaïne]  Pure Olives Colombie [HQ+], RizLaCroix,"89,00€","France, Metropolitan (FR)"
3.5G GELATO 41 TOP INDOOR, TommyVercetti,"40,00€","France, Metropolitan (FR)"
1g 3MMC pure crystal, hellbin,"25,00€","France, Metropolitan (FR)"
10g Weed indoor ~20% THC, LePetitPrince,"73,98€","France, Metropolitan (FR)"
sparkling yellow, skizoom,"450,00€",N/A
5G - WEED AMNESIA - HQ, blackmanba1fe,"70,00€","France, Metropolitan (FR)"
100G Maroccan blond hash, HashToDelivery,"410,00€","France, Metropolitan (FR)"
20G Hash!!, WeedShopHulk,"155,00€","France, Metropolitan (FR)"
"Weed Skunkmix, 5 grammes", projeccao,"46,00€","France, Metropolitan (FR)"
7 X Authentique Oxycontin® OC 80mg  Oxycodone - avec Tracking Gratuit, The-Naughty-Nurse-Reserve,"180,00€","France, Metropolitan (FR)"
*25 XTC - 200MG, M1000,"65,00€","France, Metropolitan (FR)"
50g SWAZI ROYAL (Sativa), revenantchild,"250,00€",N/A
CASEY JONES INDOOR @ 5 EUR/GR, DolceGusto,"50,00€","France, Metropolitan (FR)"
Obtenez votre extrait de Kbis en 72h Max, Morefey77,"1,00€",N/A
AK-47 , Golden-weed,"20,00€","France, Metropolitan (FR)"
